Data;Compradora;Valor;Quantidade;Vendedora;Agressor;Total (USD);Agente Agressor;Núm;Var
19:10:38.865;Elliot-Warren;2.565,60;4;Genial;Comprador;;;;
19:10:37.474;XP;2.565,50;1;Elliot-Warren;Comprador;;;;
19:10:34.886;XP;2.565,50;1;Elliot-Warren;Comprador;;;;
19:10:32.295;XP;2.565,50;1;Elliot-Warren;Comprador;;;;
19:10:29.688;XP;2.565,50;1;Elliot-Warren;Comprador;;;;
19:03:09.163;Genial;2.553,50;1;XP;Vendedor;;;;
19:02:12.051;XP;2.565,90;1;Genial;Comprador;;;;
18:36:43.655;Genial;2.562,90;1;BGC Liquidez;Vendedor;;;;
18:36:43.387;Genial;2.562,90;1;BGC Liquidez;Vendedor;;;;
18:36:43.119;Genial;2.562,90;1;BGC Liquidez;Vendedor;;;;
18:36:42.850;Genial;2.562,90;1;BGC Liquidez;Vendedor;;;;
18:36:13.237;Genial;2.562,90;1;BGC Liquidez;Vendedor;;;;
18:34:52.850;Santander;2.568,00;1;BGC Liquidez;Comprador;;;;
18:33:15.558;Elliot-Warren;2.567,50;1;BGC Liquidez;Vendedor;;;;
18:33:15.291;Elliot-Warren;2.567,50;1;BGC Liquidez;Vendedor;;;;
18:33:15.025;Elliot-Warren;2.567,50;1;BGC Liquidez;Vendedor;;;;
18:33:14.759;Elliot-Warren;2.567,50;1;BGC Liquidez;Vendedor;;;;
18:33:14.492;Elliot-Warren;2.567,20;1;BGC Liquidez;Vendedor;;;;
18:33:13.797;Elliot-Warren;2.567,20;1;BGC Liquidez;Comprador;;;;
18:30:14.062;XP;2.574,70;1;Genial;Comprador;;;;
18:29:11.688;XP;2.570,20;6;Elliot-Warren;Comprador;;;;
18:29:11.688;XP;2.570,10;1;Genial;Comprador;;;;
18:29:06.714;XP;2.568,60;1;Genial;Comprador;;;;
18:29:06.714;XP;2.568,60;1;Genial;Comprador;;;;
18:29:06.714;XP;2.565,00;1;XP;Comprador;;;;
18:28:14.202;UBS;2.565,50;10;Genial;Vendedor;;;;
18:28:05.236;UBS;2.566,60;10;Genial;Vendedor;;;;
18:27:56.259;UBS;2.564,80;1;Genial;Vendedor;;;;
18:27:42.919;Genial;2.564,10;10;UBS;Comprador;;;;
18:27:41.252;Genial;2.563,70;10;UBS;Comprador;;;;
18:27:29.576;Genial;2.563,60;1;XP;Vendedor;;;;
18:27:29.576;UBS;2.566,00;10;Genial;Vendedor;;;;
18:27:25.002;UBS;2.567,40;10;Genial;Vendedor;;;;
18:24:38.957;UBS;2.567,30;7;Genial;Vendedor;;;;
18:24:30.047;UBS;2.568,30;10;Genial;Vendedor;;;;
18:20:01.384;UBS;2.563,90;1;Genial;Comprador;;;;
18:20:01.383;Genial;2.563,60;10;UBS;Comprador;;;;
18:19:16.524;Genial;2.563,50;10;UBS;Comprador;;;;
18:18:02.927;Elliot-Warren;2.562,00;7;UBS;Comprador;;;;
18:17:28.400;UBS;2.561,60;1;Genial;Vendedor;;;;
18:16:38.495;BTG;2.564,60;7;Elliot-Warren;Comprador;;;;
18:16:38.495;BTG;2.564,30;1;Genial;Comprador;;;;
18:16:38.495;BTG;2.562,90;1;Genial;Comprador;;;;
18:16:38.495;BTG;2.561,60;10;UBS;Comprador;;;;
18:16:38.495;BTG;2.561,50;1;Genial;Comprador;;;;
18:12:54.118;Genial;2.561,00;10;UBS;Comprador;;;;
18:12:43.325;Genial;2.561,10;10;UBS;Comprador;;;;
18:12:11.211;Genial;2.560,60;10;UBS;Comprador;;;;
18:11:06.645;Genial;2.563,10;10;UBS;Comprador;;;;
18:11:04.773;Elliot-Warren;2.563,50;9;UBS;Comprador;;;;
18:11:02.989;Genial;2.563,50;10;UBS;Comprador;;;;
18:11:01.853;Genial;2.563,30;10;UBS;Comprador;;;;
18:11:00.617;Genial;2.563,20;10;UBS;Comprador;;;;
18:10:55.477;Genial;2.562,30;10;UBS;Comprador;;;;
18:10:52.347;XP;2.561,20;1;UBS;Comprador;;;;
18:10:12.695;UBS;2.574,30;10;Genial;Vendedor;;;;
18:10:09.892;UBS;2.574,90;10;Genial;Vendedor;;;;
18:09:52.503;UBS;2.574,30;10;Genial;Vendedor;;;;
18:09:51.344;Elliot-Warren;2.574,60;10;Genial;Vendedor;;;;
18:09:48.315;Elliot-Warren;2.575,40;10;Genial;Vendedor;;;;
18:09:47.113;UBS;2.575,60;10;Genial;Vendedor;;;;
18:09:42.808;UBS;2.577,80;10;Genial;Vendedor;;;;
18:09:38.023;UBS;2.575,50;10;Elliot-Warren;Vendedor;;;;
18:09:34.250;Agora;2.576,80;4;UBS;Comprador;;;;
18:09:34.000;Agora;2.576,50;5;UBS;Comprador;;;;
18:09:33.000;Agora;2.576,60;5;UBS;Comprador;;;;
18:09:31.750;Agora;2.577,10;5;UBS;Comprador;;;;
18:09:31.000;Agora;2.576,30;5;UBS;Comprador;;;;
18:09:29.764;Agora;2.577,10;5;UBS;Comprador;;;;
18:09:28.450;Agora;2.584,20;5;Elliot-Warren;Comprador;;;;
18:09:28.000;Agora;2.576,20;5;UBS;Comprador;;;;
18:09:26.459;Agora;2.578,90;5;UBS;Comprador;;;;
18:09:26.000;Agora;2.584,20;4;Elliot-Warren;Comprador;;;;
18:09:26.000;Agora;2.583,90;1;Elliot-Warren;Comprador;;;;
18:09:24.550;Agora;2.583,90;5;Elliot-Warren;Comprador;;;;
18:09:23.800;Agora;2.576,10;5;UBS;Comprador;;;;
18:09:22.243;Agora;2.575,90;5;UBS;Comprador;;;;
18:09:21.460;Agora;2.574,80;5;UBS;Comprador;;;;
18:09:20.479;UBS;2.575,70;2;XP;Vendedor;;;;
18:09:20.460;Agora;2.583,90;4;Elliot-Warren;Comprador;;;;
18:09:20.460;Agora;2.583,60;1;Genial;Comprador;;;;
18:09:19.459;Agora;2.575,40;5;UBS;Comprador;;;;
18:09:19.000;Agora;2.576,60;5;UBS;Comprador;;;;
18:09:18.000;Agora;2.576,80;5;UBS;Comprador;;;;
18:09:17.027;UBS;2.576,50;10;XP;Vendedor;;;;
18:09:17.000;Agora;2.583,60;4;Genial;Comprador;;;;
18:09:17.000;Agora;2.583,40;1;Genial;Comprador;;;;
18:09:16.000;Agora;2.576,10;5;UBS;Comprador;;;;
18:09:14.533;Agora;2.583,40;4;Genial;Comprador;;;;
18:09:14.533;Agora;2.580,00;1;XP;Comprador;;;;
18:09:14.000;Agora;2.575,50;5;UBS;Comprador;;;;
18:09:13.027;UBS;2.574,80;10;XP;Vendedor;;;;
18:09:13.000;Agora;2.575,60;5;UBS;Comprador;;;;
18:08:59.570;XP;2.577,00;1;UBS;Vendedor;;;;
18:08:35.839;XP;2.575,60;1;UBS;Comprador;;;;
18:07:49.185;UBS;2.574,10;10;XP;Vendedor;;;;
18:07:23.122;UBS;2.574,10;10;XP;Vendedor;;;;
18:07:08.192;Agora;2.572,10;5;UBS;Vendedor;;;;
18:07:08.192;XP;2.572,20;1;UBS;Vendedor;;;;
18:07:03.190;XP;2.572,90;1;UBS;Vendedor;;;;
18:06:52.890;UBS;2.574,10;10;XP;Vendedor;;;;
18:03:34.644;Genial;2.563,90;10;UBS;Comprador;;;;
18:03:11.713;UBS;2.567,00;10;Genial;Vendedor;;;;
18:02:40.011;UBS;2.566,80;1;XP;Vendedor;;;;
18:02:33.066;UBS;2.567,10;1;XP;Vendedor;;;;
18:02:28.461;UBS;2.569,30;1;XP;Vendedor;;;;
18:02:27.451;UBS;2.570,30;10;Genial;Vendedor;;;;
18:02:23.873;UBS;2.570,30;1;XP;Vendedor;;;;
18:02:19.269;UBS;2.570,80;1;XP;Vendedor;;;;
18:02:16.187;UBS;2.571,10;6;Ideal;Vendedor;;;;
18:02:13.897;UBS;2.570,80;1;XP;Vendedor;;;;
18:02:04.178;UBS;2.567,00;10;Ideal;Vendedor;;;;
18:02:02.114;Genial;2.567,30;1;BGC Liquidez;Vendedor;;;;
18:02:01.662;UBS;2.567,90;1;BGC Liquidez;Comprador;;;;
18:02:01.393;Agora;2.568,00;1;BGC Liquidez;Vendedor;;;;
18:02:01.124;Agora;2.568,00;1;BGC Liquidez;Vendedor;;;;
18:02:00.853;UBS;2.568,80;1;BGC Liquidez;Comprador;;;;
18:02:00.585;UBS;2.568,20;1;BGC Liquidez;Comprador;;;;
18:01:59.522;UBS;2.569,80;1;BGC Liquidez;Comprador;;;;
18:01:59.251;UBS;2.569,30;1;BGC Liquidez;Comprador;;;;
18:01:58.323;UBS;2.569,10;1;BGC Liquidez;Comprador;;;;
18:01:58.043;Agora;2.568,60;5;UBS;Vendedor;;;;
18:01:57.775;UBS;2.569,10;1;BGC Liquidez;Vendedor;;;;
18:01:57.507;UBS;2.569,10;1;BGC Liquidez;Vendedor;;;;
18:01:57.237;UBS;2.569,10;1;BGC Liquidez;Vendedor;;;;
18:01:56.969;UBS;2.569,10;1;BGC Liquidez;Vendedor;;;;
18:01:56.699;UBS;2.569,20;1;BGC Liquidez;Comprador;;;;
18:01:56.430;UBS;2.569,30;1;BGC Liquidez;Comprador;;;;
18:01:56.160;UBS;2.569,30;1;BGC Liquidez;Comprador;;;;
18:01:55.890;UBS;2.569,40;1;BGC Liquidez;Comprador;;;;
18:01:55.622;UBS;2.569,60;1;BGC Liquidez;Comprador;;;;
18:01:51.205;UBS;2.570,60;1;BGC Liquidez;Vendedor;;;;
18:01:50.936;UBS;2.570,60;1;BGC Liquidez;Vendedor;;;;
18:01:47.950;UBS;2.569,30;1;XP;Vendedor;;;;
18:01:46.262;UBS;2.570,20;1;BGC Liquidez;Comprador;;;;
18:01:45.993;UBS;2.570,30;1;BGC Liquidez;Comprador;;;;
18:01:45.724;UBS;2.570,00;1;BGC Liquidez;Comprador;;;;
18:01:45.452;UBS;2.570,40;1;BGC Liquidez;Vendedor;;;;
18:01:43.890;UBS;2.569,90;1;BGC Liquidez;Comprador;;;;
18:01:42.643;UBS;2.569,60;1;BGC Liquidez;Comprador;;;;
18:01:42.375;UBS;2.569,10;1;BGC Liquidez;Comprador;;;;
18:01:42.107;UBS;2.569,10;1;BGC Liquidez;Comprador;;;;
18:01:41.839;UBS;2.569,60;1;BGC Liquidez;Vendedor;;;;
