entry_time,exit_time,side,entry_price,reason,pnl_usd,equity_usd
1900-01-01 09:48:07.364,1900-01-01 10:02:15.861,venda,2516.8,target,7.5,7.5
1900-01-01 10:05:21.098,1900-01-01 10:06:11.298,venda,2503.8,target,7.5,15.0
1900-01-01 10:06:11.298,1900-01-01 10:06:11.300,venda,2479.0,stop,-5.5,9.5
1900-01-01 10:06:11.313,1900-01-01 10:06:11.391,venda,2499.9,target,7.5,17.0
1900-01-01 10:06:34.557,1900-01-01 10:11:08.947,venda,2498.3,stop,-5.5,11.5
1900-01-01 10:32:03.668,1900-01-01 10:33:03.760,compra,2516.5,target,7.5,19.0
1900-01-01 10:36:36.521,1900-01-01 10:36:37.980,compra,2502.1,target,7.5,26.5
1900-01-01 10:41:47.252,1900-01-01 10:45:15.689,compra,2506.8,target,7.5,34.0
1900-01-01 10:45:15.689,1900-01-01 10:52:43.867,compra,2515.9,stop,-5.5,28.5
1900-01-01 10:56:23.227,1900-01-01 11:03:12.709,venda,2507.8,stop,-5.5,23.0
1900-01-01 11:31:32.645,1900-01-01 11:37:46.255,compra,2516.0,stop,-5.5,17.5
1900-01-01 11:55:44.447,1900-01-01 12:00:00.950,compra,2508.7,stop,-5.5,12.0
1900-01-01 12:00:00.951,1900-01-01 12:05:43.562,venda,2505.5,stop,-5.5,6.5
1900-01-01 12:06:46.269,1900-01-01 12:24:04.612,compra,2514.2,stop,-5.5,1.0
1900-01-01 12:32:28.021,1900-01-01 13:15:33.943,compra,2508.8,target,7.5,8.5
1900-01-01 13:18:58.132,1900-01-01 13:20:55.454,compra,2532.2,stop,-5.5,3.0
1900-01-01 13:20:55.454,1900-01-01 13:24:02.216,compra,2526.6,target,7.5,10.5
1900-01-01 13:24:02.216,1900-01-01 13:25:48.059,compra,2535.8,stop,-5.5,5.0
1900-01-01 17:11:18.917,1900-01-01 17:12:26.479,compra,2553.5,target,7.5,12.5
1900-01-01 17:12:26.479,1900-01-01 17:12:45.994,compra,2561.7,target,7.5,20.0
1900-01-01 17:12:45.994,1900-01-01 17:12:53.841,compra,2570.1,target,7.5,27.5
1900-01-01 17:13:05.205,1900-01-01 17:13:23.006,compra,2579.0,stop,-5.5,22.0
1900-01-01 17:13:23.006,1900-01-01 17:13:39.698,compra,2573.6,stop,-5.5,16.5
1900-01-01 17:16:22.829,1900-01-01 17:18:06.021,compra,2589.0,target,7.5,24.0
1900-01-01 17:23:29.002,1900-01-01 17:26:08.318,compra,2614.2,stop,-5.5,18.5
1900-01-01 17:27:31.600,1900-01-01 17:46:56.463,venda,2606.2,target,7.5,26.0
1900-01-01 17:59:01.106,1900-01-01 17:59:01.113,venda,2597.1,target,7.5,33.5
1900-01-01 17:59:01.113,1900-01-01 17:59:01.998,venda,2566.8,stop,-5.5,28.0
1900-01-01 17:59:01.998,1900-01-01 17:59:02.008,venda,2625.0,target,7.5,35.5
1900-01-01 17:59:02.008,1900-01-01 17:59:02.011,venda,2601.0,target,7.5,43.0
1900-01-01 17:59:02.011,1900-01-01 17:59:02.018,venda,2566.7,stop,-5.5,37.5
1900-01-01 17:59:02.018,1900-01-01 17:59:02.018,venda,2578.2,stop,-5.5,32.0
1900-01-01 17:59:02.018,1900-01-01 17:59:02.101,venda,2632.1,target,7.5,39.5
1900-01-01 17:59:02.101,1900-01-01 17:59:02.119,venda,2619.4,stop,-5.5,34.0
1900-01-01 17:59:02.119,1900-01-01 17:59:02.142,venda,2632.7,target,7.5,41.5
1900-01-01 17:59:02.142,1900-01-01 17:59:03.013,venda,2569.8,stop,-5.5,36.0
1900-01-01 17:59:03.013,1900-01-01 17:59:03.020,venda,2628.5,target,7.5,43.5
1900-01-01 17:59:03.020,1900-01-01 17:59:03.031,venda,2565.5,stop,-5.5,38.0
1900-01-01 17:59:03.031,1900-01-01 17:59:03.031,venda,2620.3,target,7.5,45.5
1900-01-01 17:59:03.031,1900-01-01 17:59:03.121,venda,2612.3,target,7.5,53.0
1900-01-01 17:59:03.121,1900-01-01 17:59:03.384,venda,2599.7,target,7.5,60.5
1900-01-01 18:01:41.569,1900-01-01 18:08:59.570,compra,2568.7,target,7.5,68.0
1900-01-01 18:08:59.570,1900-01-01 18:09:14.533,venda,2577.0,stop,-5.5,62.5
