Time,Type,Volume,Symbol,Profit,Commission,Swap
2024-01-03 10:15:00,buy,0.10,EURUSD,45.20,-0.70,0.00
2024-01-03 14:40:00,sell,0.10,EURUSD,-22.10,-0.70,0.00
2024-01-04 09:05:00,buy,0.10,EURUSD,31.50,-0.70,0.00
2024-01-04 16:20:00,sell,0.10,EURUSD,12.80,-0.70,0.00
2024-01-05 11:00:00,buy,0.10,EURUSD,-38.40,-0.70,0.00
2024-01-08 13:30:00,sell,0.10,EURUSD,55.00,-0.70,-0.15
2024-01-09 08:45:00,buy,0.10,EURUSD,18.25,-0.70,0.00
2024-01-09 15:10:00,sell,0.10,EURUSD,-15.60,-0.70,0.00
2024-01-10 12:00:00,buy,0.10,EURUSD,27.90,-0.70,0.00
2024-01-11 14:25:00,sell,0.10,EURUSD,-9.50,-0.70,0.00
